doi,material,bet_surface_area_m2_g,pressure_bar,adsorption_temperature_K,pore_volume_cm3_g,year,material_taxonomy,co2_capacity_mg_g
10.1016_j.matchemphys.2021.124788,MOF-200/GO,,1.0,298.0,,2021.0,GO non-composite,58.96
10.1016_j.matchemphys.2021.124788,PEI -GO,,1.0,298.0,,2021.0,GO non-composite,32.56
10.1016_j.micromeso.2020.110786,GO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,57.2
10.1016_j.micromeso.2020.110786,RGO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,39.6
10.1016_j.micromeso.2020.110786,RGO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,54.12
10.1016_j.micromeso.2020.110786,RGO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,63.8
10.1016_j.micromeso.2020.110786,RGO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,76.12
10.1016_j.micromeso.2020.110786,GO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,75.67999999999999
10.1016_j.micromeso.2020.110786,GO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,94.6
10.1016_j.micromeso.2020.110786,GO/core shell ZIF-8@ZIF-67,,1.0,273.0,,2020.0,rGO non-composite,68.2
10.1016_j.jcou.2022.102371,HPCM-500–0.5GO,743.0,1.0,273.0,0.509,2022.0,Graphene composite,96.8
10.1016_j.jcou.2022.102371,HPCM-500–10GO,515.0,1.0,273.0,0.314,2022.0,Graphene composite,79.2
10.1016_j.jcou.2022.102371,HPCM-500–2GO,598.0,1.0,273.0,0.509,2022.0,Graphene composite,61.6
10.1016_j.jcou.2022.102371,HPCM-900–0.5GO,960.0,1.0,273.0,0.518,2022.0,Graphene composite,145.2
10.1016_j.jcou.2022.102371,HPCM-900–10GO,1221.0,1.0,273.0,0.517,2022.0,Graphene composite,202.4
10.1016_j.jcou.2022.102371,HPCM-900–2GO,997.0,1.0,273.0,0.526,2022.0,Graphene composite,149.6
10.1016_j.jece.2021.105839,GNS-A,964.0,0.5,303.0,0.59,2021.0,Graphene non-composite,203.28
10.1016_j.jece.2021.105839,GNS-B,647.0,0.5,303.0,0.4499999999999999,2021.0,Graphene non-composite,156.64
10.1016_j.jece.2021.105839,GNS-C,469.0,0.5,303.0,0.41,2021.0,Graphene non-composite,92.84
10.1016_j.jece.2021.105839,GNS-D,365.0,0.5,303.0,0.31,2021.0,Graphene non-composite,67.32000000000001
10.1016_j.jece.2021.105839,GNS-E,284.0,0.5,303.0,0.2799999999999999,2021.0,Graphene non-composite,55.88
10.1016_j.jece.2021.105839,GNS-G,273.0,0.5,303.0,0.25,2021.0,Graphene non-composite,50.16
10.1016_j.jece.2021.105839,GNS-GH,280.0,0.5,303.0,0.26,2021.0,Graphene non-composite,47.52
10.1016_j.colsurfa.2021.126640,GO,51.0,1.0,273.0,0.05,2021.0,rGO non-composite,7.48
10.1016_j.colsurfa.2021.126640,EGO,438.0,1.0,273.0,1.58,2021.0,rGO non-composite,53.24
10.1016_j.colsurfa.2021.126640,CPGMs-2,640.0,1.0,273.0,2.32,2021.0,Graphene non-composite,72.6
10.1016_j.colsurfa.2021.126640,CPGMs-4,843.0,1.0,273.0,2.71,2021.0,Graphene non-composite,76.56
10.1016_j.colsurfa.2021.126640,CPGMs-6,908.0,1.0,273.0,3.08,2021.0,Graphene non-composite,68.64
10.1016_j.colsurfa.2021.126640,KPGMs-5,995.0,1.0,273.0,0.57,2021.0,Graphene non-composite,143.44
10.1016_j.colsurfa.2021.126640,KPGMs-7,2518.0,1.0,273.0,1.65,2021.0,Graphene non-composite,178.64
10.1016_j.colsurfa.2021.126640,KPGMs-9,1449.0,1.0,273.0,0.95,2021.0,Graphene non-composite,116.16
10.1016_j.ijhydene.2014.05.059,GO,51.0,1.0,273.0,0.05,2014.0,GO non-composite,7.48
10.1016_j.ijhydene.2014.05.059,HPGC-750,239.0,1.0,273.0,0.69,2014.0,Graphene non-composite,60.72
10.1016_j.ijhydene.2014.05.059,HPGC-850,459.0,1.0,273.0,1.17,2014.0,Graphene non-composite,77.44
10.1016_j.ijhydene.2014.05.059,HPGC-950,532.0,1.0,273.0,1.67,2014.0,Graphene non-composite,63.8
10.1016_j.jallcom.2020.157534,rGO/PC-600-2-1,,1.0,298.0,,2020.0,rGO-based composite,43.3972
10.1016_j.jallcom.2020.157534,rGO/NPC-400-1-0.5,,1.0,298.0,,2020.0,rGO-based composite,9.9352
10.1016_j.jallcom.2020.157534,rGO/NPC-600-1-0.5,869.2,1.0,298.0,0.12,2020.0,rGO-based composite,91.2956
10.1016_j.jallcom.2020.157534,rGO/NPC-700-1-0.5,,1.0,298.0,,2020.0,rGO-based composite,62.6428
10.1016_j.jallcom.2020.157534,rGO/NPC-600-2-0.5,882.3,1.0,298.0,0.087,2020.0,rGO-based composite,85.25
10.1016_j.jallcom.2020.157534,rGO/NPC-600-3-0.5,778.6,1.0,298.0,0.034,2020.0,rGO-based composite,66.8756
10.1016_j.jallcom.2020.157534,rGO/NPC-600-2-1,865.2,1.0,298.0,0.069,2020.0,rGO-based composite,95.744
10.1016_j.jallcom.2020.157534,rGO/NPC-600-2-2,749.6,1.0,298.0,0.081,2020.0,rGO-based composite,62.4888
10.1016_j.jpowsour.2016.08.042,PG,76.5,1.0,298.0,0.29,2016.0,Graphene non-composite,36.52
10.1016_j.jpowsour.2016.08.042,NG-650,278.0,1.0,298.0,0.68,2016.0,Graphene non-composite,194.92
10.1016_j.jpowsour.2016.08.042,NG-750,296.0,1.0,298.0,0.89,2016.0,Graphene non-composite,137.28
10.1016_j.micromeso.2014.08.012,GO/MOF without IL template,933.0,1.0,298.15,0.05,2014.0,GO-based composite,121.88
10.1016_j.micromeso.2014.08.012,GO-TAc/MOF-90,1193.0,1.0,298.15,0.107,2014.0,GO-based composite,199.32
10.1016_j.micromeso.2014.08.012,GO-TAc/MOF-60,2043.0,1.0,298.15,0.196,2014.0,GO-based composite,247.28
10.1016_j.micromeso.2014.08.012,GO-TAc/MOF-30,1575.0,1.0,298.15,0.157,2014.0,GO-based composite,229.24
10.1016_j.micromeso.2014.08.012,GO-TBF4/MOF-60,1763.0,1.0,298.15,0.149,2014.0,GO-based composite,233.64
10.1016_j.micromeso.2014.08.012,GO-BBF4/MOF-60,1090.0,1.0,298.15,0.055,2014.0,GO-based composite,143.44
10.1016_j.psep.2021.02.014,SAG-850,133.0,1.0,303.15,0.14,2021.0,Graphene non-composite,45.32
10.1016_j.psep.2021.02.014,SAG-850,133.0,1.0,333.15,0.14,2021.0,Graphene non-composite,30.8
10.1016_j.psep.2021.02.014,SAG-850,133.0,1.0,363.15,0.14,2021.0,Graphene non-composite,28.6
10.1016_j.psep.2021.02.014,SAG-4-850,1411.0,1.0,303.15,1.16,2021.0,Graphene non-composite,122.32
10.1016_j.psep.2021.02.014,SAG-4-850,1411.0,1.0,333.15,1.16,2021.0,Graphene non-composite,96.36
10.1016_j.psep.2021.02.014,SAG-4-850,1411.0,1.0,363.15,1.16,2021.0,Graphene non-composite,85.8
10.1016_j.psep.2023.12.041,UiO-66-(OH)2/GO (0.15),,1.0,273.0,,2023.0,GO non-composite,221.32
10.1016_j.psep.2023.12.041,UiO-66-(OH)2/GO (0.15),,1.0,298.0,,2023.0,GO non-composite,190.96
10.1016_j.ijhydene.2016.05.162,GO,73.0,0.152,298.15,0.217,2016.0,Graphene non-composite,5.39877300613497
10.1016_j.ijhydene.2016.05.162,PEI-GO 40,29.0,0.152,298.15,0.138,2016.0,Graphene composite,18.245853215178364
10.1016_j.ijhydene.2016.05.162,PEI-GO 50,18.0,0.152,298.15,0.099,2016.0,Graphene composite,21.205180640763466
10.1016_j.ijhydene.2016.05.162,PEI-GO 60,16.0,0.152,298.15,0.051,2016.0,Graphene composite,32.88252669847762
10.1016_j.ijhydene.2016.05.162,PEI-GO 70,13.0,0.152,298.15,0.03,2016.0,Graphene composite,11.877300613496937
10.1016_j.ijhydene.2016.05.162,GO,73.0,1.0,298.15,0.217,2016.0,Graphene non-composite,17.995910020449895
10.1016_j.ijhydene.2016.05.162,PEI-GO 60,16.0,1.0,298.15,0.051,2016.0,Graphene composite,83.98091342876619
10.1016_j.jiec.2016.01.032,PSF/GO(5)/ZIF-302(6) MMM,95.0,1.0,298.0,,2016.0,GO-based composite,11.189435174444544
10.1016_j.jiec.2016.01.032,PSF/GO(4)/ZIF-302(12) MMM,100.0,1.0,298.0,,2016.0,GO-based composite,14.722941019005978
10.1016_j.jiec.2016.01.032,PSF/GO(3)/ZIF-302(18) MMM,105.0,1.0,298.0,,2016.0,GO-based composite,17.863835103060584
10.1016_j.jiec.2016.01.032,PSF/GO(2)/ZIF-302(24) MMM,105.0,1.0,298.0,,2016.0,GO-based composite,20.612117426608364
10.1016_j.jiec.2016.01.032,PSF/GO(1)/ZIF-302(30) MMM,110.0,1.0,298.0,,2016.0,GO-based composite,23.36039975015615
10.1016_j.jiec.2016.01.032,GO,25.0,1.0,298.0,,2016.0,GO-based composite,11.189435174444544
10.1016_j.memsci.2016.04.029,PSF/GO(5)/ZIF-301(6) MMM,95.0,1.0,298.0,,2016.0,GO-based composite,12.170964575711608
10.1016_j.memsci.2016.04.029,PSF/GO(4)/ZIF-301(12) MMM,120.0,1.0,298.0,,2016.0,GO-based composite,15.50816454001963
10.1016_j.memsci.2016.04.029,PSF/GO(3)/ZIF-301(18) MMM,155.0,1.0,298.0,,2016.0,GO-based composite,18.845364504327648
10.1016_j.memsci.2016.04.029,PSF/GO(2)/ZIF-301(24) MMM,180.0,1.0,298.0,,2016.0,GO-based composite,22.182564468635675
10.1016_j.memsci.2016.04.029,PSF/GO(1)/ZIF-301(30) MMM,205.0,1.0,298.0,,2016.0,GO-based composite,25.323458552690283
10.1016_j.jcou.2017.05.018,MEGO-I,310.0,1.0,303.15,0.94,2017.0,GO non-composite,37.4
10.1016_j.jcou.2017.05.018,MEGO-II,290.0,1.0,303.15,0.94,2017.0,GO non-composite,33.88
10.1016_j.jcou.2017.05.018,MEGO-III,170.0,1.0,303.15,0.55,2017.0,GO non-composite,22.44
10.1016_j.fuel.2019.03.011,TEPA-GO (5-10 min ultrasound),194.484,0.101325,338.0,0.042,2019.0,GO non-composite,30.8
10.1016_j.fuel.2019.03.011,TEPA-GO (2-3 h ultrasound),194.484,0.101325,338.0,0.042,2019.0,GO non-composite,39.6
10.1016_j.fuel.2019.03.011,TEPA-GO (6 h ultrasound),194.484,0.101325,338.0,0.042,2019.0,GO non-composite,52.8
10.1016_j.fuel.2019.03.011,GO,289.028,0.101325,303.0,0.046,2019.0,GO non-composite,13.2
10.1016_j.fuel.2019.03.011,GO,289.028,0.101325,323.0,0.046,2019.0,GO non-composite,4.4
10.1016_j.jiec.2019.02.016,GO,,1.0,298.15,,2019.0,GO-based composite,14.96
10.1016_j.jiec.2019.02.016,NiDOBDC/GO composite,,1.0,298.15,,2019.0,GO-based composite,201.52
10.1016_j.ces.2023.119572,MGO 1.000,289.2,1.0,298.15,0.69,2023.0,GO non-composite,35.64
10.1016_j.ces.2023.119572,MGO 0.500,297.7,1.0,298.15,0.75,2023.0,GO non-composite,37.84
10.1016_j.ces.2023.119572,MGO 0.250,311.1,1.0,298.15,0.88,2023.0,GO non-composite,41.8
10.1016_j.ces.2023.119572,MGO 0.250 UV_15,396.0,1.0,298.15,1.1,2023.0,GO non-composite,52.8
10.1016_j.ces.2023.119572,MGO 0.250 UV_2.5,429.5,1.0,298.15,1.25,2023.0,GO non-composite,57.64
10.1016_j.ces.2023.119572,MGO 0.250 UV_5.0,520.9,1.0,298.15,1.37,2023.0,GO non-composite,67.76
10.1016_j.ces.2023.119572,MGO 0.250 UV_10,577.3,1.0,298.15,1.59,2023.0,GO non-composite,72.6
10.1016_j.apsusc.2018.08.062,CZIF-8,1170.0,1.0,273.15,1.52,2018.0,GO-based composite,250.8
10.1016_j.carbon.2014.09.042,Glu-T8,395.0,1.0,273.15,0.21,2014.0,rGO-based composite,145.2
10.1016_j.carbon.2014.09.042,Glu-T8,395.0,1.0,298.15,0.21,2014.0,rGO-based composite,110.0
10.1016_j.carbon.2014.09.042,HTC,93.0,1.0,273.15,0.17,2014.0,rGO-based composite,44.0
10.1016_j.carbon.2014.09.042,HTC,93.0,1.0,298.15,0.17,2014.0,rGO-based composite,30.8
